task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	40/a3f40b	17459	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-27 11:11:05.020	1.3s	0ms	94.6%	10 MB	15.2 MB	684.6 KB	743 B
2	75/2be310	17529	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-27 11:11:06.366	1s	13ms	126.3%	2.9 MB	3.9 MB	91.1 KB	5 KB
3	23/192cb5	17660	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-10-27 11:11:07.401	1.1s	1s	97.3%	10.7 MB	15.8 MB	678.8 KB	4.1 KB
5	d5/92c692	17758	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-27 11:11:08.527	1s	0ms	106.7%	3 MB	5.4 MB	135.7 KB	4.8 KB
1	89/488453	17834	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-27 11:11:09.545	1.4s	0ms	125.3%	10.1 MB	15.2 MB	1.8 MB	8.3 MB
10	c8/6a6f5c	17937	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-27 11:11:10.967	11.5s	11s	186.3%	1.4 GB	1.9 GB	36.5 MB	6.4 MB
9	46/1c20c7	18015	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-27 11:11:22.506	11.7s	10s	205.8%	1.4 GB	1.9 GB	38.9 MB	9.1 MB
11	9e/b3bf80	18119	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-27 11:11:34.241	11s	10s	181.7%	1.2 GB	1.7 GB	44.8 MB	13.1 MB
6	42/e00c8b	18203	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-27 11:11:45.255	19.9s	18s	429.5%	2.1 GB	2.5 GB	80.4 MB	40 MB
7	e5/b27929	18288	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-27 11:12:05.184	7.5s	7s	222.6%	1.3 GB	1.9 GB	36.7 MB	7.5 MB
12	ec/f1ed3c	18375	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-27 11:12:12.660	8.4s	6s	264.8%	408.3 MB	3.8 GB	33.3 MB	3.6 MB
8	f6/2ce85c	18481	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-27 11:12:21.115	15.3s	13s	228.5%	759 MB	3.8 GB	73.4 MB	3.9 MB
15	17/926c6d	18571	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-27 11:12:36.430	10s	7s	273.6%	427.1 MB	3.8 GB	37.5 MB	4 MB
13	e3/2da6c8	18644	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-27 11:12:46.501	9.8s	7s	297.8%	799.6 MB	3.8 GB	34.4 MB	3.8 MB
14	ef/d8e926	18715	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-27 11:12:56.347	9.7s	8s	264.6%	606.5 MB	3.8 GB	33.2 MB	3.9 MB
16	7b/8645f8	18786	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-27 11:13:06.085	2.7s	2s	71.4%	66.7 MB	6.8 GB	17.9 MB	16.8 KB
17	77/379ab1	18864	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2023-10-27 11:13:08.834	9.8s	8s	302.4%	362 MB	3.8 GB	26.7 MB	3.8 MB
18	fe/5dbd13	18940	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2023-10-27 11:13:18.602	1m 9s	1m 8s	402.2%	114.1 MB	960.4 MB	116.8 MB	107.1 MB
19	c1/1c275d	19032	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2023-10-27 11:14:27.579	7.5s	5s	256.7%	815.9 MB	3.8 GB	29.5 MB	3.8 MB
20	c6/d820b2	19125	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2023-10-27 11:14:35.085	1m 56s	1m 56s	401.6%	115.7 MB	966.2 MB	173.2 MB	163.5 MB
21	f5/4f689c	19195	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-27 11:16:31.493	8.8s	6s	286.9%	384.2 MB	3.8 GB	33.6 MB	3.9 MB
22	11/b1e321	19269	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-27 11:16:40.304	1m 8s	1m 7s	402.0%	135.8 MB	983 MB	92.5 MB	83 MB
23	2d/c05d8c	19338	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2023-10-27 11:17:48.288	14.9s	12s	227.4%	757.8 MB	3.8 GB	60.4 MB	3.8 MB
24	8f/d282ca	19413	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2023-10-27 11:18:03.189	10m 11s	10m 10s	403.2%	117.7 MB	958.2 MB	820.8 MB	807.8 MB
25	be/a6fc20	19482	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-27 11:28:13.894	8.3s	6s	284.0%	357.3 MB	3.8 GB	27.8 MB	3.7 MB
26	70/bf22e9	19562	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-27 11:28:22.191	43.3s	42s	406.0%	94.8 MB	955.7 MB	92.7 MB	84.5 MB
