Assembly	ERR5743893.consensus	ERR5556343.consensus	SRR13500958.consensus	ERR5181310.consensus	ERR5405022.consensus
# misassemblies	0	0	0	0	0
  # contig misassemblies	0	0	0	0	0
    # c. relocations	0	0	0	0	0
    # c. translocations	0	0	0	0	0
    # c. inversions	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0
    # s. relocations	0	0	0	0	0
    # s. translocations	0	0	0	0	0
    # s. inversions	0	0	0	0	0
# misassembled contigs	0	0	0	0	0
Misassembled contigs length	0	0	0	0	0
# local misassemblies	0	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0
# scaffold gap loc. mis.	1	2	0	1	2
# unaligned mis. contigs	0	0	0	0	0
# mismatches	27	34	22	28	34
# indels	1	1	0	5	4
    # indels (<= 5 bp)	1	0	0	3	2
    # indels (> 5 bp)	0	1	0	2	2
Indels length	1	9	0	24	19
